X,Y,Name
-84.2009685015889,9.48096624908793,"Plant1"
-84.2008406070299,9.48093123588183,"Plant2"
-84.2018410438241,9.48116656856104,"Plant3"
-84.2008618630886,9.47989785050943,"Plant4"
-84.2006570650035,9.47958577723699,"Plant5"
-84.2002535059652,9.47968237134512,"Plant6"
-84.2001671285417,9.48030837546899,"Plant7"
-84.2002268032671,9.48056193500284,"Plant8"
-84.2008200675611,9.48080040170729,"Plant9"
-84.2006589225826,9.48063693475507,"Plant10"
-84.2016963804555,9.48058817330625,"Plant11"
-84.2018120147484,9.48143917668681,"Plant12"
-84.2015942136103,9.48069521629628,"Plant13"
-84.201415189434,9.48060233734615,"Plant14"
